City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,barysaw,54.2312,28.5049,16.16,95,80,5.0,BY,1722292772
125,juegang,32.3174,121.1855,27.77,88,0,5.23,CN,1722292773
126,kaoma,-14.7833,24.8,14.66,22,3,2.67,ZM,1722292774
127,olinda,-8.0089,-34.8553,26.85,78,40,5.66,BR,1722292207
128,namtsy,62.7161,129.6658,15.33,92,100,2.47,RU,1722292777
129,qulsary,46.9531,54.0198,24.85,56,39,4.59,KZ,1722292778
130,sonqor,34.7837,47.6004,16.52,73,0,2.8,IR,1722292779
131,kaka,37.3482,59.6143,26.51,35,0,4.68,TM,1722292781
132,hawaiian paradise park,19.5933,-154.9731,26.73,70,100,3.6,US,1722292782
133,bardai,11.65,7.2333,21.77,92,56,3.46,NG,1722292784
134,paros,37.0833,25.15,27.95,57,0,5.14,GR,1722292785
135,lourical,40.0039,-8.7374,23.43,83,94,3.59,PT,1722292786
136,tuy hoa,13.0833,109.3,26.63,73,100,3.43,VN,1722292787
137,kainantu,-6.2887,145.8655,18.68,84,85,1.61,PG,1722292788
138,hasaki,35.7333,140.8333,31.27,78,69,3.28,JP,1722292789
139,gamba,-2.65,10.0,21.56,81,15,2.35,GA,1722292790
140,kavieng,-2.5744,150.7967,28.21,78,20,4.72,PG,1722292792
141,kailua-kona,19.6406,-155.9956,28.98,78,40,4.12,US,1722292793
142,ikom,5.9667,8.7063,22.69,99,100,0.71,NG,1722292794
143,bafq,31.6128,55.4107,31.08,21,2,2.44,IR,1722292795
144,south hedland,-20.4089,118.5983,16.96,42,36,4.12,AU,1722292796
145,san luis,-33.295,-66.3356,9.59,46,0,3.8,AR,1722292797
146,luderitz,-26.6481,15.1594,11.19,70,31,7.75,NA,1722292798
147,longyearbyen,78.2186,15.6401,8.91,87,75,4.12,SJ,1722292800
148,puerto lempira,15.2667,-83.7667,27.4,86,85,4.71,HN,1722292801
149,akrehamn,59.2667,5.1833,17.14,82,100,4.12,NO,1722292802
150,zaragoza,41.6561,-0.8773,32.25,31,0,2.57,ES,1722292803
151,chernihiv,51.0,32.0,15.81,86,99,8.31,UA,1722292804
152,chadron,42.8294,-102.9999,37.82,10,0,4.12,US,1722292805
153,newman,37.3138,-121.0208,33.13,15,0,2.99,US,1722292807
154,hami,42.8,93.45,30.69,22,0,5.37,CN,1722292808
155,isangel,-19.55,169.2667,24.91,59,67,2.31,VU,1722292809
156,kavaratti,10.5669,72.642,28.18,84,100,10.03,IN,1722292810
157,codrington,-38.2667,141.9667,7.07,83,100,2.69,AU,1722292812
158,vila velha,-20.3297,-40.2925,24.97,84,0,3.6,BR,1722292813
159,tromso,69.6496,18.957,12.01,82,100,6.69,NO,1722292814
160,kilju,40.9642,129.3278,29.52,60,15,1.81,KP,1722292815
161,stanley,54.868,-1.6985,14.73,85,0,3.09,GB,1722292816
162,shantobe,52.4581,68.1839,11.98,75,6,3.19,KZ,1722292817
163,turmalina,-17.2856,-42.73,19.23,50,0,0.97,BR,1722292819
164,manismata,-2.4667,111.0333,22.88,99,62,1.19,ID,1722292820
165,cidreira,-30.1811,-50.2056,13.91,75,100,5.24,BR,1722292822
166,lorengau,-2.0226,147.2712,27.72,84,48,4.21,PG,1722292823
167,kushikino,31.7167,130.2667,28.92,80,2,5.08,JP,1722292824
168,argo,37.6333,22.7333,27.1,34,0,1.91,GR,1722292826
169,nouadhibou,20.931,-17.0347,20.99,83,17,7.72,MR,1722292827
170,buka,40.8108,69.1986,21.33,29,1,2.56,UZ,1722292828
171,quellon,-43.1167,-73.6167,5.3,72,99,0.53,CL,1722292829
172,aizenay,46.74,-1.6083,26.15,83,0,2.57,FR,1722292830
173,whitehorse,60.7161,-135.0538,17.67,44,100,7.2,CA,1722292831
174,kourou,5.1552,-52.6478,28.03,88,20,3.32,GF,1722292833
175,punta arenas,-53.15,-70.9167,3.06,87,75,3.6,CL,1722292660
176,aasiaat,68.7098,-52.8699,3.81,85,99,2.45,GL,1722292835
177,grivenskaya,45.6473,38.176,22.04,77,0,3.96,RU,1722292837
178,tadmur,34.5608,38.2805,27.94,30,0,6.12,SY,1722292839
179,korla,41.7597,86.1469,30.94,25,0,3.84,CN,1722292840
180,papatowai,-46.5619,169.4708,5.49,72,100,7.34,NZ,1722292841
181,arraial do cabo,-22.9661,-42.0278,20.98,88,75,5.66,BR,1722292748
182,urangan,-25.3,152.9,12.84,60,0,6.38,AU,1722292843
183,rayadrug,14.7,76.8667,24.44,77,100,8.33,IN,1722292844
184,sur,22.5667,59.5289,28.93,76,100,1.99,OM,1722292845
185,dauphin,51.1494,-100.0502,29.08,48,0,1.54,CA,1722292847
186,natal,-5.795,-35.2094,25.36,83,20,3.6,BR,1722292246
187,st. john's,47.5649,-52.7093,24.66,46,0,11.32,CA,1722292849
188,al kharj,24.155,47.3346,34.32,14,79,3.28,SA,1722292850
189,dudinka,69.4058,86.1778,18.79,59,61,5.11,RU,1722292851
190,maughold,54.2988,-4.3184,13.57,80,95,2.15,IM,1722292852
191,ishigaki,24.3448,124.1572,28.07,94,75,3.6,JP,1722292854
192,carutapera,-1.195,-46.02,26.18,77,6,4.45,BR,1722292855
193,plesetsk,62.708,40.2916,10.53,99,48,1.98,RU,1722292856
194,howard springs,-12.497,131.047,22.95,82,28,5.17,AU,1722292857
195,dunedin,-45.8742,170.5036,6.0,69,100,0.45,NZ,1722292858
196,acapulco de juarez,16.8634,-99.8901,30.9,74,75,5.14,MX,1722292726
197,olyokminsk,60.3736,120.4264,15.27,93,93,4.07,RU,1722292862
198,suva,-18.1416,178.4415,25.71,50,20,8.23,FJ,1722292863
199,castelnaudary,43.3183,1.9545,26.27,55,21,2.79,FR,1722292864
200,acarau,-2.8856,-40.12,25.38,83,5,7.06,BR,1722292865
201,necochea,-38.5473,-58.7368,3.8,68,78,3.99,AR,1722292866
202,ulladulla,-35.35,150.4667,10.88,67,37,6.9,AU,1722292867
203,georgetown,5.4112,100.3354,27.96,89,20,0.0,MY,1722292773
204,vilyuchinsk,52.9306,158.4028,12.15,93,99,1.34,RU,1722292870
205,malvan,16.0667,73.4667,26.85,87,55,8.15,IN,1722292871
206,indianola,41.3581,-93.5574,32.27,66,11,1.97,US,1722292872
207,ribeira brava,32.65,-17.0667,23.89,81,3,2.24,PT,1722292873
208,gebeit,21.0667,36.3167,31.03,40,95,6.21,SD,1722292874
209,kokoda,-8.8785,147.7407,25.81,81,70,1.67,PG,1722292875
210,bam,29.106,58.357,34.19,13,13,2.74,IR,1722292877
211,eufaula,31.8913,-85.1455,32.02,69,20,2.57,US,1722292878
212,sechura,-5.5569,-80.8222,20.51,68,17,7.58,PE,1722292879
213,harstad,68.799,16.5293,13.68,71,5,0.89,NO,1722292880
214,kodiak,57.79,-152.4072,15.73,51,100,3.09,US,1722292881
215,bonthe,7.5264,-12.505,24.82,87,100,6.02,SL,1722292883
216,murrysville,40.4284,-79.6975,28.09,78,97,2.77,US,1722292884
217,todos santos,23.45,-110.2167,27.47,71,9,3.2,MX,1722292639
218,afif,23.9065,42.9172,27.62,25,84,7.49,SA,1722292886
219,homer,59.6425,-151.5483,13.94,73,0,4.12,US,1722292887
220,afaahiti,-17.75,-149.2833,26.7,79,26,9.51,PF,1722292888
221,pisz,53.6274,21.8125,14.64,78,28,5.25,PL,1722292890
222,minas de marcona,-15.2119,-75.1103,13.78,71,3,2.6,PE,1722292891
223,reggane,26.7158,0.1714,39.9,9,0,9.51,DZ,1722292892
224,sarpol-e zahab,34.4611,45.8626,28.8,39,0,5.88,IR,1722292893
225,la passe,45.5549,-0.8967,28.13,77,17,5.47,FR,1722292894
226,sarina,-21.4333,149.2167,15.7,47,0,3.84,AU,1722292895
227,namibe,-15.1961,12.1522,17.91,82,93,1.15,AO,1722292896
228,mar del plata,-38.0023,-57.5575,8.86,64,0,6.26,AR,1722292804
229,nuku'alofa,-21.1333,-175.2,23.19,53,20,7.2,TO,1722292899
230,anacapri,40.5558,14.2136,29.57,77,23,2.51,IT,1722292900
231,sinabang,2.4803,96.3801,26.44,81,100,1.39,ID,1722292901
232,ingeniero jacobacci,-41.3427,-69.5448,1.94,51,87,2.43,AR,1722292902
233,kuala belait,4.5833,114.1833,26.09,90,100,2.33,BN,1722292903
234,kapoeta,4.7717,33.5903,23.05,80,93,1.88,SS,1722292905
235,merizo village,13.2658,144.6691,29.1,88,66,2.77,GU,1722292906
236,lagunas,-5.2269,-75.6753,27.37,62,73,0.86,PE,1722292907
237,belozersk,60.0326,37.7957,12.92,79,72,3.22,RU,1722292908
238,arish,31.1316,33.7984,27.1,74,0,1.03,EG,1722292909
239,ust'-barguzin,53.45,108.9833,14.09,100,99,1.14,RU,1722292910
240,kununurra,-15.7667,128.7333,22.99,35,96,4.12,AU,1722292912
241,waddan,29.1614,16.139,25.96,54,0,4.71,LY,1722292913
242,antratsyt,48.115,39.0913,17.65,59,46,1.45,UA,1722292914
243,santa elena de uairen,4.6167,-61.1333,19.81,86,60,1.7,VE,1722292915
244,port elizabeth,-33.918,25.5701,11.16,58,0,4.12,ZA,1722292916
245,paoua,7.2427,16.4406,20.33,96,99,1.03,CF,1722292917
246,nacimiento,-37.5,-72.6667,10.43,65,100,1.16,CL,1722292918
247,ushibukamachi,32.1906,130.0228,28.14,81,10,4.2,JP,1722292920
248,mutuali,-14.8706,37.0044,17.36,32,0,1.54,MZ,1722292921
249,port lincoln,-34.7333,135.8667,9.34,51,58,5.82,AU,1722292922
250,aykhal,66.0,111.5,10.11,65,14,5.0,RU,1722292924
251,talara,-4.5772,-81.2719,20.42,83,0,7.61,PE,1722292926
252,westport,41.1415,-73.3579,26.34,78,75,3.6,US,1722292639
253,flying fish cove,-10.4217,105.6791,23.82,83,100,4.63,CX,1722292928
254,kwali,8.8672,7.005,26.94,94,96,0.91,NG,1722292929
255,avarua,-21.2078,-159.775,22.03,53,75,6.17,CK,1722292930
256,kuching,1.55,110.3333,27.23,94,20,1.03,MY,1722292734
257,mount isa,-20.7333,139.5,13.87,28,0,2.57,AU,1722292932
258,polyarnyy,69.1989,33.4478,9.65,95,100,5.63,RU,1722292934
259,noormarkku,61.5927,21.8685,15.88,88,75,3.6,FI,1722292935
260,shimokizukuri,40.8061,140.3861,24.97,98,93,3.99,JP,1722292936
261,tumut,-35.3,148.2167,5.83,60,1,0.15,AU,1722292938
262,daday,41.4787,33.4667,14.33,70,0,0.81,TR,1722292939
263,miri,4.4148,114.0089,26.08,94,20,0.0,MY,1722292940
264,gorontalo,0.5412,123.0595,24.92,88,35,0.62,ID,1722292942
265,fortaleza,-3.7227,-38.5247,27.82,91,20,3.09,BR,1722292795
266,tafresh,34.692,50.013,20.72,50,58,3.24,IR,1722292944
267,hovd,48.0056,91.6419,19.33,54,8,0.56,MN,1722292945
268,sijunjung,-0.6876,100.9537,21.39,98,12,0.57,ID,1722292946
269,the pas,53.8251,-101.2541,29.01,45,0,6.69,CA,1722292947
270,san martin,-33.081,-68.4681,10.3,35,7,1.97,AR,1722292948
271,carupano,10.6678,-63.2585,26.67,87,47,3.38,VE,1722292950
272,mpanda,-6.3655,31.0409,18.97,29,1,0.96,TZ,1722292951
273,tazovsky,67.4667,78.7,15.81,95,90,5.33,RU,1722292952
274,polovinnoye,54.7914,65.9864,13.16,93,100,3.71,RU,1722292953
275,muang phonsavan,19.45,103.2167,19.72,100,100,0.47,LA,1722292954
276,laojunmiao,39.8333,97.7333,22.19,23,48,2.18,CN,1722292955
277,tidjikja,18.5564,-11.4271,33.09,34,0,7.18,MR,1722292956
278,auki,-8.7676,160.7034,28.49,68,100,1.89,SB,1722292958
279,durango,24.8333,-104.8333,28.1,33,46,4.11,MX,1722292910
280,papao,-17.75,-149.55,27.59,80,14,10.7,PF,1722292962
281,wynyard,-41.0,145.7167,6.65,83,89,1.03,AU,1722292963
282,kuala terengganu,5.3302,103.1408,23.97,100,20,0.0,MY,1722292964
283,iskateley,67.6803,53.1512,10.44,80,100,5.53,RU,1722292966
284,weno,7.4515,151.8468,28.74,77,65,5.46,FM,1722292967
285,timimoun,29.2639,0.231,37.21,12,0,8.23,DZ,1722292968
286,shaowu,27.3409,117.4831,25.85,93,38,0.94,CN,1722292969
287,celestun,20.8667,-90.4,31.79,59,100,4.49,MX,1722292970
288,san juan,-31.5375,-68.5364,12.17,34,30,3.87,AR,1722292971
289,dembi dolo,8.5333,34.8,13.85,87,100,1.53,ET,1722292972
290,csakvar,47.3918,18.465,20.2,57,4,2.54,HU,1722292974
291,fukuecho,32.6881,128.8419,28.65,80,36,5.41,JP,1722292975
292,riverside,33.7333,-116.0508,40.6,8,0,0.0,US,1722292900
293,lazaro cardenas,17.9583,-102.2,30.66,67,87,3.8,MX,1722292953
294,la plata,-34.9215,-57.9545,8.23,59,54,2.56,AR,1722292890
295,harper,4.375,-7.7169,24.04,80,97,5.17,LR,1722292979
296,moncks corner,33.196,-80.0131,28.03,65,0,3.09,US,1722292926
297,lesnoy,57.6198,63.0784,10.45,99,78,2.74,RU,1722292983
298,mejit,10.2753,170.8646,27.34,80,97,6.53,MH,1722292984
299,al 'amarah,31.8406,47.1396,36.01,19,0,4.75,IQ,1722292985
300,usinsk,65.9939,57.5281,14.67,97,100,2.7,RU,1722292986
301,actopan,20.2667,-98.9333,21.41,68,87,5.07,MX,1722292987
302,al khawr,25.7667,51.3167,33.06,35,100,2.7,QA,1722292989
303,mount pearl,47.5166,-52.7813,24.19,55,0,11.32,CA,1722292990
304,pirallahi,40.4723,50.333,22.08,61,0,1.52,AZ,1722292991
305,as sulayyil,20.4607,45.5779,36.14,14,93,8.21,SA,1722292992
306,barka kana,23.6167,85.4833,26.91,85,100,1.0,IN,1722292993
307,taiobeiras,-15.8078,-42.2331,20.67,44,24,1.35,BR,1722292994
308,kralendijk,12.15,-68.2667,29.99,70,20,8.75,BQ,1722292995
309,jiwani,25.05,61.7417,28.81,87,100,5.5,PK,1722292997
310,vadso,70.0744,29.7487,13.49,88,100,1.03,NO,1722292998
311,bantilan,14.7519,121.6656,27.97,75,92,2.02,PH,1722292999
312,nazareno,25.3833,-103.4167,34.73,23,28,6.23,MX,1722293000
313,new norfolk,-42.7826,147.0587,4.95,71,100,0.69,AU,1722293001
314,san antonio de pale,-1.4014,5.6325,22.69,76,100,4.13,GQ,1722293002
315,geraldton,-28.7667,114.6,14.23,94,5,4.12,AU,1722293004
316,weyburn,49.6668,-103.8511,32.12,15,34,2.57,CA,1722293005
317,villa gesell,-37.2639,-56.973,6.7,65,34,4.05,AR,1722293007
318,antsiranana,-12.2787,49.2917,22.53,75,16,6.52,MG,1722293008
319,codo,-4.4553,-43.8856,26.82,39,52,1.11,BR,1722293009
320,kulhudhuffushi,6.6221,73.07,28.41,80,100,7.24,MV,1722293010
321,sao vicente,-23.9631,-46.3919,22.1,93,42,4.34,BR,1722292752
